engine_no,MAX(recordings.operational_setting_1),MAX(recordings.operational_setting_2),MAX(recordings.operational_setting_3),MAX(recordings.sensor_measurement_1),MAX(recordings.sensor_measurement_10),MAX(recordings.sensor_measurement_11),MAX(recordings.sensor_measurement_12),MAX(recordings.sensor_measurement_13),MAX(recordings.sensor_measurement_14),MAX(recordings.sensor_measurement_15),MAX(recordings.sensor_measurement_16),MAX(recordings.sensor_measurement_17),MAX(recordings.sensor_measurement_18),MAX(recordings.sensor_measurement_19),MAX(recordings.sensor_measurement_2),MAX(recordings.sensor_measurement_20),MAX(recordings.sensor_measurement_21),MAX(recordings.sensor_measurement_3),MAX(recordings.sensor_measurement_4),MAX(recordings.sensor_measurement_5),MAX(recordings.sensor_measurement_6),MAX(recordings.sensor_measurement_7),MAX(recordings.sensor_measurement_8),MAX(recordings.sensor_measurement_9),MAX(recordings.cycles.MAX(recordings.operational_setting_1)),MAX(recordings.cycles.MAX(recordings.operational_setting_2)),MAX(recordings.cycles.MAX(recordings.operational_setting_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_1)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_10)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_11)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_12)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_13)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_14)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_15)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_16)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_17)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_18)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_19)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_2)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_20)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_21)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_4)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_5)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_6)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_7)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_8)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_9)),remaining_useful_life
179,42.0078,0.8419,100.0,518.67,1.3,47.3,523.92,2388.12,8148.18,10.8874,0.03,393,2388,100.0,642.55,39.3,23.583,1596.13,1403.18,14.62,21.61,556.25,2388.09,9058.98,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,334
180,42.0079,0.8418,100.0,518.67,1.3,47.3,524.01,2388.1,8146.4,10.8706,0.03,393,2388,100.0,642.53,39.37,23.6174,1587.45,1404.01,14.62,21.61,556.33,2388.09,9062.81,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,243
181,42.0079,0.842,100.0,518.67,1.3,47.72,521.9,2388.25,8141.72,10.9506,0.03,394,2388,100.0,643.37,38.97,23.4228,1595.34,1415.32,14.62,21.61,554.17,2388.2,9062.36,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,33
182,42.0078,0.8418,100.0,518.67,1.3,47.37,522.93,2388.15,8145.57,10.901,0.03,393,2388,100.0,642.47,39.24,23.4601,1588.61,1402.67,14.62,21.61,554.97,2388.06,9065.66,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,104
183,42.0074,0.8416,100.0,518.67,1.3,47.62,522.5,2388.18,8139.22,10.9463,0.03,394,2388,100.0,642.88,39.13,23.4378,1600.06,1414.01,14.62,21.61,554.93,2388.11,9060.47,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,89
184,42.0079,0.8419,100.0,518.67,1.3,47.45,524.87,2388.17,8148.28,10.8509,0.03,393,2388,100.0,642.99,39.33,23.6597,1589.23,1408.25,14.62,21.61,557.44,2388.11,9070.04,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,278
185,42.0072,0.842,100.0,518.67,1.3,47.38,525.11,2388.18,8148.91,10.8526,0.03,393,2388,100.0,642.59,39.34,23.5882,1595.22,1408.38,14.62,21.6,557.21,2388.11,9070.58,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,158
186,42.0067,0.842,100.0,518.67,1.3,47.59,522.35,2388.18,8143.9,10.9449,0.03,394,2388,100.0,642.99,39.08,23.4516,1594.57,1410.17,14.62,21.61,554.69,2388.15,9063.94,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,62
187,42.008,0.8418,100.0,518.67,1.3,47.27,522.26,2388.08,8140.07,10.8827,0.03,392,2388,100.0,642.25,39.22,23.5584,1587.52,1397.35,14.62,21.59,554.52,2388.04,9054.82,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,172
188,42.0078,0.842,100.0,518.67,1.3,47.66,522.14,2388.18,8136.8,10.9224,0.03,394,2388,100.0,643.06,39.02,23.3941,1595.86,1413.34,14.62,21.61,554.04,2388.13,9056.22,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,153
189,42.008,0.8419,100.0,518.67,1.3,47.79,521.7,2388.23,8139.64,10.9364,0.03,395,2388,100.0,643.18,38.91,23.3939,1598.24,1416.83,14.62,21.61,554.33,2388.22,9063.81,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,138
190,42.0079,0.842,100.0,518.67,1.3,47.27,519.57,2388.02,8130.21,10.9137,0.03,392,2388,100.0,642.44,39.0,23.4099,1582.64,1401.06,14.62,21.58,552.13,2388.0,9045.96,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,280
191,42.0079,0.842,100.0,518.67,1.3,47.28,523.83,2388.11,8145.25,10.8792,0.03,392,2388,100.0,642.48,39.24,23.5638,1588.52,1401.93,14.62,21.6,556.6,2388.06,9058.64,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,196
192,42.0074,0.8418,100.0,518.67,1.3,47.79,521.73,2388.24,8136.28,10.9591,0.03,395,2388,100.0,643.42,39.15,23.3883,1603.15,1420.28,14.62,21.61,553.93,2388.19,9056.72,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.15,1423.56,14.62,21.61,559.36,2388.23,9079.48,89
193,42.0079,0.842,100.0,518.67,1.3,47.77,521.84,2388.22,8136.43,10.9476,0.03,394,2388,100.0,643.06,39.02,23.3879,1594.94,1416.58,14.62,21.61,554.28,2388.17,9061.42,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.15,1423.56,14.62,21.61,559.36,2388.23,9079.48,96
194,42.0076,0.842,100.0,518.67,1.3,47.69,521.95,2388.23,8134.9,10.9491,0.03,395,2388,100.0,643.16,39.02,23.3958,1600.73,1414.8,14.62,21.61,554.03,2388.16,9059.21,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.15,1423.56,14.62,21.61,559.36,2388.23,9079.48,44
195,42.0078,0.842,100.0,518.67,1.3,47.64,521.98,2388.23,8142.33,10.9389,0.03,394,2388,100.0,642.99,39.12,23.4372,1595.29,1415.73,14.62,21.61,554.46,2388.15,9063.93,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.15,1423.56,14.62,21.61,559.36,2388.23,9079.48,58
196,42.0079,0.8418,100.0,518.67,1.3,47.59,522.9,2388.41,8155.99,10.9272,0.03,393,2388,100.0,642.85,39.17,23.5229,1595.98,1411.23,14.62,21.61,554.74,2388.09,9078.31,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.15,1423.56,14.62,21.61,559.36,2388.23,9079.48,73
197,42.0079,0.842,100.0,518.67,1.3,47.7,521.84,2388.21,8135.16,10.9519,0.03,395,2388,100.0,643.54,38.9,23.4712,1596.56,1420.03,14.62,21.61,553.97,2388.21,9056.31,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6597,1603.15,1423.56,14.62,21.61,559.36,2388.23,9079.48,69
198,42.0078,0.842,100.0,518.67,1.31,47.54,527.44,2388.33,8154.49,10.8248,0.03,394,2388,100.0,642.79,39.51,23.6075,1596.55,1409.53,14.62,21.61,559.77,2388.19,9081.41,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6597,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,63
199,42.0078,0.8418,100.0,518.67,1.3,47.64,522.32,2388.19,8135.63,10.9136,0.03,395,2388,100.0,642.97,39.11,23.4653,1595.41,1412.5,14.62,21.61,554.59,2388.14,9054.35,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6597,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,75
200,42.0073,0.842,100.0,518.67,1.3,47.28,523.01,2388.14,8144.23,10.8793,0.03,393,2388,100.0,642.3,39.37,23.5819,1588.78,1400.98,14.62,21.59,555.11,2388.02,9060.76,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6597,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,124
201,42.0075,0.8419,100.0,518.67,1.3,47.37,522.64,2388.39,8156.77,10.8914,0.03,393,2388,100.0,642.87,39.18,23.4305,1590.6,1406.31,14.62,21.61,555.14,2388.04,9074.8,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6597,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,277
202,42.0079,0.842,100.0,518.67,1.3,47.34,523.73,2388.14,8148.01,10.868,0.03,392,2388,100.0,642.51,39.33,23.5347,1592.96,1404.93,14.62,21.59,555.58,2388.07,9061.26,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6597,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,140
203,42.0073,0.842,100.0,518.67,1.31,47.55,526.11,2388.25,8153.97,10.8267,0.03,394,2388,100.0,642.81,39.39,23.6615,1591.31,1405.31,14.62,21.61,558.47,2388.18,9073.57,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,223
204,42.0077,0.842,100.0,518.67,1.3,47.46,522.41,2388.37,8159.46,10.9441,0.03,394,2388,100.0,642.76,39.17,23.4477,1592.38,1409.98,14.62,21.61,554.72,2388.09,9075.79,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,110
205,42.0078,0.8419,100.0,518.67,1.3,47.66,521.89,2388.22,8133.53,10.9425,0.03,395,2388,100.0,643.11,38.85,23.3343,1594.55,1420.49,14.62,21.61,554.06,2388.19,9056.31,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,141
206,42.008,0.842,100.0,518.67,1.3,47.43,522.94,2388.18,8148.04,10.8898,0.03,393,2388,100.0,642.58,39.26,23.5713,1588.03,1408.63,14.62,21.61,555.15,2388.07,9069.02,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,162
207,42.0078,0.8419,100.0,518.67,1.3,47.46,524.15,2388.12,8145.93,10.8526,0.03,393,2388,100.0,642.68,39.31,23.5869,1591.34,1405.87,14.62,21.61,556.71,2388.11,9064.65,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,278
208,42.0076,0.842,100.0,518.67,1.3,47.33,522.88,2388.24,8153.51,10.8962,0.03,393,2388,100.0,642.63,39.12,23.4844,1589.98,1404.59,14.62,21.61,555.37,2388.02,9070.08,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,189
209,42.0071,0.842,100.0,518.67,1.3,47.89,522.08,2388.18,8142.69,10.9357,0.03,394,2388,100.0,643.01,39.0,23.4103,1597.66,1413.31,14.62,21.61,554.22,2388.18,9064.58,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,60
210,42.0073,0.842,100.0,518.67,1.3,47.61,522.09,2388.39,8158.04,10.9416,0.03,394,2388,100.0,643.07,39.13,23.4241,1596.68,1411.99,14.62,21.61,554.47,2388.1,9081.29,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,66
211,42.0079,0.842,100.0,518.67,1.3,47.78,521.72,2388.21,8146.9,10.9588,0.03,395,2388,100.0,643.51,38.98,23.3955,1600.2,1416.94,14.62,21.61,553.92,2388.14,9071.04,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,45
212,42.008,0.8419,100.0,518.67,1.3,47.42,522.6,2388.19,8145.73,10.9127,0.03,394,2388,100.0,642.69,39.16,23.5013,1593.34,1404.78,14.62,21.61,554.78,2388.09,9064.6,42.008,0.842,100.0,518.67,1.31,47.93,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,128
213,42.0075,0.8419,100.0,518.67,1.3,47.95,521.78,2388.24,8136.49,10.9615,0.03,396,2388,100.0,643.12,38.96,23.3537,1598.78,1416.59,14.62,21.61,553.77,2388.2,9059.45,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,96
214,42.0079,0.8418,100.0,518.67,1.3,47.7,522.05,2388.29,8133.01,10.9418,0.03,395,2388,100.0,643.23,39.14,23.4277,1596.94,1415.39,14.62,21.61,554.47,2388.22,9051.12,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,27
215,42.0079,0.842,100.0,518.67,1.3,47.41,522.7,2388.14,8142.05,10.9126,0.03,393,2388,100.0,643.03,39.15,23.5051,1591.45,1405.9,14.62,21.61,555.18,2388.08,9060.53,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,260
216,42.0073,0.842,100.0,518.67,1.3,47.57,522.7,2388.16,8142.11,10.9322,0.03,394,2388,100.0,642.96,39.14,23.4053,1593.95,1414.31,14.62,21.61,554.33,2388.13,9057.83,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,143
217,42.008,0.842,100.0,518.67,1.3,47.61,522.36,2388.16,8144.96,10.9146,0.03,395,2388,100.0,643.26,39.0,23.397,1592.66,1413.19,14.62,21.61,554.28,2388.11,9068.69,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,99
218,42.0079,0.8419,100.0,518.67,1.3,47.56,522.62,2388.14,8144.66,10.8871,0.03,393,2388,100.0,643.01,39.19,23.505,1590.45,1408.69,14.62,21.61,554.87,2388.11,9066.28,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,135
219,42.0078,0.842,100.0,518.67,1.3,47.54,525.15,2388.21,8149.85,10.849,0.03,394,2388,100.0,642.64,39.32,23.5803,1588.82,1407.6,14.62,21.6,557.25,2388.15,9069.01,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,89
220,42.0077,0.8419,100.0,518.67,1.3,47.56,522.48,2388.17,8141.64,10.9045,0.03,393,2388,100.0,643.11,39.2,23.5419,1593.12,1406.19,14.62,21.61,554.8,2388.11,9060.64,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,101
221,42.0076,0.8415,100.0,518.67,1.3,47.39,525.09,2388.18,8150.05,10.8493,0.03,393,2388,100.0,642.65,39.42,23.6095,1591.88,1405.59,14.62,21.6,558.05,2388.15,9069.61,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,173
222,42.008,0.8419,100.0,518.67,1.3,47.49,522.55,2388.16,8136.1,10.8959,0.03,394,2388,100.0,642.8,39.23,23.5138,1592.15,1408.45,14.62,21.61,554.87,2388.15,9053.71,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,101
223,42.0069,0.8419,100.0,518.67,1.3,47.63,522.74,2388.13,8139.13,10.9156,0.03,394,2388,100.0,643.12,39.14,23.4897,1593.61,1409.2,14.62,21.61,554.73,2388.08,9061.69,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,146
224,42.0078,0.842,100.0,518.67,1.3,47.24,522.48,2388.09,8138.47,10.8696,0.03,393,2388,100.0,642.3,39.25,23.4927,1587.02,1403.47,14.62,21.59,554.96,2388.03,9057.6,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,167
225,42.0079,0.8419,100.0,518.67,1.3,47.18,519.73,2388.01,8127.96,10.9026,0.03,392,2388,100.0,642.56,39.06,23.3643,1582.09,1405.85,14.62,21.58,552.68,2388.01,9042.98,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,317
226,42.008,0.8419,100.0,518.67,1.3,47.38,522.7,2388.3,8150.93,10.9213,0.03,395,2388,100.0,642.81,39.13,23.4647,1589.73,1406.05,14.62,21.61,555.19,2388.06,9073.5,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,93
227,42.0063,0.8417,100.0,518.67,1.3,47.23,523.1,2388.08,8140.56,10.8968,0.03,392,2388,100.0,642.7,39.24,23.5668,1595.05,1403.35,14.62,21.6,555.11,2388.04,9067.44,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,186
228,42.0073,0.842,100.0,518.67,1.3,47.32,523.52,2388.08,8142.73,10.8744,0.03,393,2388,100.0,642.45,39.18,23.6211,1587.54,1405.05,14.62,21.61,555.64,2388.09,9060.47,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,178
229,42.0076,0.8418,100.0,518.67,1.3,47.43,522.59,2388.13,8140.84,10.9119,0.03,393,2388,100.0,642.7,39.2,23.5091,1592.0,1407.64,14.62,21.61,554.66,2388.12,9062.06,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,179
230,42.0076,0.842,100.0,518.67,1.3,47.37,523.36,2388.13,8142.16,10.869,0.03,393,2388,100.0,642.67,39.25,23.5508,1593.62,1405.87,14.62,21.59,555.91,2388.12,9060.45,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,149
231,42.0071,0.8417,100.0,518.67,1.3,47.51,522.91,2388.12,8142.29,10.9104,0.03,394,2388,100.0,642.83,39.15,23.523,1591.24,1409.26,14.62,21.61,555.01,2388.09,9058.65,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,93
232,42.0079,0.8418,100.0,518.67,1.3,47.62,522.41,2388.14,8143.75,10.9181,0.03,394,2388,100.0,642.63,39.08,23.4962,1589.98,1408.07,14.62,21.61,554.45,2388.1,9057.36,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,172
233,42.0079,0.842,100.0,518.67,1.3,47.51,522.37,2388.21,8150.25,10.9184,0.03,395,2388,100.0,642.97,39.07,23.428,1593.78,1410.73,14.62,21.61,554.41,2388.1,9072.98,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,188
234,42.0079,0.8419,100.0,518.67,1.3,47.69,522.01,2388.19,8133.83,10.9478,0.03,394,2388,100.0,643.29,39.11,23.4215,1593.06,1413.16,14.62,21.61,554.32,2388.17,9054.21,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6615,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,106
235,42.0077,0.842,100.0,518.67,1.3,47.45,525.72,2388.21,8149.99,10.8475,0.03,394,2388,100.0,642.52,39.33,23.6794,1593.25,1409.51,14.62,21.6,558.2,2388.13,9068.33,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6794,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,98
236,42.0072,0.8419,100.0,518.67,1.3,47.34,521.7,2388.09,8139.25,10.8852,0.03,392,2388,100.0,642.15,39.25,23.4884,1590.44,1403.07,14.62,21.58,554.01,2388.0,9054.47,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6794,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,124
237,42.0079,0.842,100.0,518.67,1.3,47.54,522.65,2388.31,8154.54,10.9276,0.03,393,2388,100.0,642.66,39.15,23.5192,1596.83,1409.74,14.62,21.61,554.89,2388.05,9074.25,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6794,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,111
238,42.0075,0.8418,100.0,518.67,1.3,47.32,521.13,2388.06,8138.23,10.9163,0.03,392,2388,100.0,642.49,39.02,23.4601,1589.6,1405.68,14.62,21.58,553.31,2388.02,9048.35,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6794,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,86
239,42.0068,0.8417,100.0,518.67,1.3,47.28,522.35,2388.06,8138.63,10.8938,0.03,392,2388,100.0,642.61,39.16,23.5291,1592.82,1404.96,14.62,21.59,554.66,2388.01,9056.12,42.008,0.842,100.0,518.67,1.31,47.95,527.44,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.51,23.6794,1603.15,1423.56,14.62,21.61,559.77,2388.23,9081.41,264
